CODARCO;CODVIA;NOMEVIA;NUMQUART;Quartiere;Da;A;COD_NODO1;COD_NODO2;DATA_ISTIT;LUNGHEZ;CIVICO_MIN;ESPONENTE_;CIVICO_MAS;ESPONENTE0;CIVICO_MI0;ESPONENTE1;CIVICO_MA0;ESPONENTE2;Geo Point;Geo Shape;Codice nazionale Anncsu strada
490;16800;VIA DOMENICO CIMAROSA;16;Savena;VIA ANGELO MARIANI;VIA DELL'UCCELLINO;5684;5682;1991-10-21;50.0;6;;6;;21;;21;;44.4644920295837, 11.36762335313113;"{""coordinates"": [[11.367664539997678, 44.46471320514235], [11.367591802970447, 44.46432339683115], [11.367583371528982, 44.464270645291464]], ""type"": ""LineString""}";759439.0
492;30660;VIA ANTONIO LABRIOLA;16;Savena;VIA ANTONIO PACINOTTI;VIA GIACOMO FILIPPO NOVARO;5687;5688;1991-10-21;69.0;;;;;3;;5;;44.4644951178759, 11.369367694143499;"{""coordinates"": [[11.36893516639952, 44.464507718925326], [11.369800221887477, 44.46448251682647]], ""type"": ""LineString""}";758845.0
496;6350;VIA VINCENZO BELLINI;16;Savena;VIA ANTONIO PACINOTTI;VIA GIACOMO FILIPPO NOVARO;5679;5678;1991-10-21;74.0;4;;4;;;;;;44.46277912266501, 11.369236091556502;"{""coordinates"": [[11.369697820749266, 44.46273684658499], [11.368774362363737, 44.462821398745035]], ""type"": ""LineString""}";760425.0
499;41600;VIA GIACOMO FILIPPO NOVARO;16;Savena;VIA DELL'UCCELLINO;VIA VINCENZO BELLINI;5681;5678;1991-10-21;159.0;32;;38;;23;;27;;44.463536362463884, 11.368843222351247;"{""coordinates"": [[11.36891208233876, 44.46425132618275], [11.368774362363737, 44.462821398745035]], ""type"": ""LineString""}";759656.0
427;2930;VIA ROBERTO ARDIGO';16;Savena;VIA BERNARDINO TELESIO;VIA ALBERTO FRANCHETTI;5538;5552;1991-10-21;61.0;;;;;3;;3;;44.4541259564086, 11.365476800174006;"{""coordinates"": [[11.365170488282011, 44.45428898104908], [11.365783112066001, 44.453962931768125]], ""type"": ""LineString""}";760219.0
428;57130;VIA BERNARDINO TELESIO;16;Savena;VIA ANTONIO ROSMINI;VIA ROBERTO ARDIGO';5551;5552;1991-10-21;128.0;2;;2;;1;;7;;44.45439546689411, 11.36631135963453;"{""coordinates"": [[11.366843485426667, 44.45482287637999], [11.366800123527412, 44.45479398570644], [11.366568191483006, 44.454606542929156], [11.365783112066001, 44.453962931768125]], ""type"": ""LineString""}";758939.0
431;51430;VIA ANTONIO ROSMINI;16;Savena;VIA TOSCANA;VIA BERNARDINO TELESIO;5551;5556;1991-10-21;47.0;2;;2;;;;;;44.45465313078184, 11.367023494534923;"{""coordinates"": [[11.366843485426667, 44.45482287637999], [11.367203503643177, 44.45448338518369]], ""type"": ""LineString""}";758851.0
439;15100;VIA DELLA CAVA;16;Savena;VICOLO CASE;VICOLO CASE;5573;15962;1991-10-21;52.0;32;;36;;;;;;44.457906775185165, 11.368112793209125;"{""coordinates"": [[11.367983900727058, 44.45811873000276], [11.368038909095635, 44.45805601993209], [11.368090423675708, 44.4579637996714], [11.368167004236392, 44.457799524493474], [11.368223319936417, 44.457683059515894]], ""type"": ""LineString""}";759288.0
443;2250;VIA DELL'ANGELO CUSTODE;16;Savena;VIA CESARE ZUCCARDI MERLI;VIA GIACOMO FILIPPO NOVARO;5566;5564;1991-10-21;43.0;4;2;4;2;1;3;1;3;44.45881898505759, 11.368320271660426;"{""coordinates"": [[11.368589145132704, 44.458800465135084], [11.36839586281696, 44.45882110323854], [11.368297830225348, 44.45882856569238], [11.368236149839252, 44.45883074558664], [11.36819068843293, 44.458828978924004], [11.368161585588563, 44.458824541201366], [11.368051990889741, 44.458806882897946]], ""type"": ""LineString""}";759339.0
446;2250;VIA DELL'ANGELO CUSTODE;16;Savena;VIA CESARE ZUCCARDI MERLI;VIA CESARE ZUCCARDI MERLI;5567;5566;1991-10-21;75.0;2;1;4;C;;;;;44.45877309286286, 11.369053312138035;"{""coordinates"": [[11.369514795609634, 44.458809847412674], [11.369336706420988, 44.45876825166762], [11.36922315269962, 44.45875868900073], [11.369096504102314, 44.458754169378146], [11.368937067973985, 44.45876225851028], [11.368734896087476, 44.45878313568052], [11.368589145132704, 44.458800465135084]], ""type"": ""LineString""}";759339.0
450;63420;VIA CESARE ZUCCARDI MERLI;16;Savena;VIA DELL'ANGELO CUSTODE;VIA DELL'ANGELO CUSTODE;5566;5567;1991-10-21;228.0;2;;14;;1;;7;;44.45833172084001, 11.368935411570597;"{""coordinates"": [[11.368589145132704, 44.458800465135084], [11.368379204497932, 44.45821842577532], [11.368385077776146, 44.45819923635302], [11.368411016281117, 44.458182007324524], [11.368930995995708, 44.45811876858385], [11.369285474468333, 44.45807803915645], [11.369315884930025, 44.458089327461536], [11.369346487938884, 44.458105374152865], [11.369502992222374, 44.45876480019383], [11.369514795609634, 44.458809847412674]], ""type"": ""LineString""}";759052.0
451;9800;VICOLO DEL BOSCO;16;Savena;VIA ALBERTO FRANCHETTI;VIA DELLA FRASCA;5565;5548;1992-01-10;175.0;2;;6;;1;;5;;44.45655322654545, 11.367432406047216;"{""coordinates"": [[11.368329656839816, 44.457009203194374], [11.368258438618467, 44.456966018663834], [11.368210923880147, 44.45692028074425], [11.36813121645087, 44.456831592898126], [11.36809474126965, 44.456790289276306], [11.368047919011664, 44.456761668929026], [11.367994629083334, 44.45673474018148], [11.367787048043482, 44.4566564918746], [11.367660926644415, 44.45660303041613], [11.367271499830817, 44.45643822025005], [11.367125573964119, 44.45637894807005], [11.36703330232472, 44.45635594210463], [11.366932717414107, 44.456342453167444], [11.366845419850705, 44.456334909465326], [11.366754041800672, 44.456333698123004], [11.366649614738568, 44.456332748237124], [11.366512773546928, 44.45633714259534], [11.366447781734413, 44.45634316227188]], ""type"": ""LineString""}";759186.0
727;18200;VIA TRANQUILLO CREMONA;15;Santo Stefano;VIA PARISIO;VIA DOMENICO MORELLI;5885;5802;1991-10-21;67.0;2;;4;B;1;;3;2;44.47487373734739, 11.374020531736777;"{""coordinates"": [[11.374374139519894, 44.47471274045257], [11.37366692395366, 44.47503473424221]], ""type"": ""LineString""}";760376.0
728;30800;VIA DEI LAMPONI;15;Santo Stefano;VIA DEGLI ORTI;VIA FRANCESCO CAVAZZA;5847;5882;1991-10-21;159.0;62;;64;;67;;93;;44.477343419839016, 11.372423386021987;"{""coordinates"": [[11.372875957146693, 44.47798244465362], [11.371970814897281, 44.47670439502441]], ""type"": ""LineString""}";759158.0
735;15300;VIA FRANCESCO CAVAZZA;15;Santo Stefano;VIA AUGUSTO ROMAGNOLI;VIA DEI LAMPONI;5847;5845;1991-10-21;127.0;2;;8;;1;;5;;44.47825435970405, 11.372171734754406;"{""coordinates"": [[11.372875957146693, 44.47798244465362], [11.371467512362118, 44.478526274754486]], ""type"": ""LineString""}";759574.0
585;34750;VIA BENEDETTO MARCELLO;16;Savena;VIA AMILCARE PONCHIELLI;VIA CARDINALE GIL ALVAREZ CARRILLO DE ALBORNOZ;5692;5693;1991-10-21;113.0;2;;2;4A;;;;;44.46613796481366, 11.376131343019535;"{""coordinates"": [[11.37600427759089, 44.465638560727356], [11.37625840844818, 44.46663736889997]], ""type"": ""LineString""}";758930.0
