CODICE;Geo Point;Geo Shape
17294;44.49971742821927, 11.35936855274947;"{""coordinates"": [11.35936855274947, 44.49971742821927], ""type"": ""Point""}"
17302;44.508273901156386, 11.364877337214907;"{""coordinates"": [11.364877337214907, 44.508273901156386], ""type"": ""Point""}"
17312;44.51038720501869, 11.28579491311659;"{""coordinates"": [11.28579491311659, 44.51038720501869], ""type"": ""Point""}"
17317;44.49938190042942, 11.39487140943916;"{""coordinates"": [11.39487140943916, 44.49938190042942], ""type"": ""Point""}"
17319;44.499269079912985, 11.39496839856179;"{""coordinates"": [11.39496839856179, 44.499269079912985], ""type"": ""Point""}"
13845;44.4978766246897, 11.39381260088532;"{""coordinates"": [11.39381260088532, 44.4978766246897], ""type"": ""Point""}"
4550;44.48823308984968, 11.327449497202524;"{""coordinates"": [11.327449497202524, 44.48823308984968], ""type"": ""Point""}"
4554;44.48518808093061, 11.324314448636816;"{""coordinates"": [11.324314448636816, 44.48518808093061], ""type"": ""Point""}"
16164;44.491212312477074, 11.302886757668404;"{""coordinates"": [11.302886757668404, 44.491212312477074], ""type"": ""Point""}"
16160;44.49132662284559, 11.304079990445743;"{""coordinates"": [11.304079990445743, 44.49132662284559], ""type"": ""Point""}"
16153;44.49134341442773, 11.305613752960973;"{""coordinates"": [11.305613752960973, 44.49134341442773], ""type"": ""Point""}"
4574;44.492920323041865, 11.303692884143459;"{""coordinates"": [11.303692884143459, 44.492920323041865], ""type"": ""Point""}"
4577;44.49299066612855, 11.304396447831841;"{""coordinates"": [11.304396447831841, 44.49299066612855], ""type"": ""Point""}"
4586;44.49207650962065, 11.305690167292418;"{""coordinates"": [11.305690167292418, 44.49207650962065], ""type"": ""Point""}"
4591;44.49192683254895, 11.307161918482104;"{""coordinates"": [11.307161918482104, 44.49192683254895], ""type"": ""Point""}"
4575;44.49253342129381, 11.305748401188108;"{""coordinates"": [11.305748401188108, 44.49253342129381], ""type"": ""Point""}"
4582;44.4902794699474, 11.303236738935539;"{""coordinates"": [11.303236738935539, 44.4902794699474], ""type"": ""Point""}"
16163;44.49095678966508, 11.30704276103265;"{""coordinates"": [11.30704276103265, 44.49095678966508], ""type"": ""Point""}"
16166;44.490133081120995, 11.310858012451758;"{""coordinates"": [11.310858012451758, 44.490133081120995], ""type"": ""Point""}"
4676;44.493818128771856, 11.325201674983656;"{""coordinates"": [11.325201674983656, 44.493818128771856], ""type"": ""Point""}"
15766;44.49667204952569, 11.324450531717186;"{""coordinates"": [11.324450531717186, 44.49667204952569], ""type"": ""Point""}"
5504;44.44661381765985, 11.335659879643348;"{""coordinates"": [11.335659879643348, 44.44661381765985], ""type"": ""Point""}"
5499;44.45604322274946, 11.349681203079992;"{""coordinates"": [11.349681203079992, 44.45604322274946], ""type"": ""Point""}"
16924;44.48195349359062, 11.39024112879967;"{""coordinates"": [11.39024112879967, 44.48195349359062], ""type"": ""Point""}"
16925;44.481276527445495, 11.391988962577276;"{""coordinates"": [11.391988962577276, 44.481276527445495], ""type"": ""Point""}"
8508;44.527982277086444, 11.256753575711064;"{""coordinates"": [11.256753575711064, 44.527982277086444], ""type"": ""Point""}"
16929;44.496610484635085, 11.41046533107348;"{""coordinates"": [11.41046533107348, 44.496610484635085], ""type"": ""Point""}"
